,Survived,Pclass,Age,SibSp,Parch,Fare,Cabin_number,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Z,Embarked_C,Embarked_Q,Embarked_S
717,1,2,27.0,0,0,10.5,101,0,0,0,0,1,0,0,0,0,0,0,1
654,0,3,18.0,0,0,6.75,0,0,0,0,0,0,0,0,0,1,0,1,0
78,1,2,0.83,0,2,29.0,0,0,0,0,0,0,0,0,0,1,0,0,1
316,1,2,24.0,1,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,0,1,40.0,0,0,27.7208,0,0,0,0,0,0,0,0,0,1,1,0,0
707,1,1,42.0,0,0,26.2875,24,0,0,0,0,1,0,0,0,0,0,0,1
239,0,2,33.0,0,0,12.275,0,0,0,0,0,0,0,0,0,1,0,0,1
124,0,1,54.0,0,1,77.2875,26,0,0,0,1,0,0,0,0,0,0,0,1
719,0,3,33.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
720,1,2,6.0,0,1,33.0,0,0,0,0,0,0,0,0,0,1,0,0,1
813,0,3,6.0,4,2,31.275,0,0,0,0,0,0,0,0,0,1,0,0,1
663,0,3,36.0,0,0,7.4958,0,0,0,0,0,0,0,0,0,1,0,0,1
607,1,1,27.0,0,0,30.5,0,0,0,0,0,0,0,0,0,1,0,0,1
556,1,1,48.0,1,0,39.6,16,1,0,0,0,0,0,0,0,0,1,0,0
27,0,1,19.0,3,2,263.0,23,0,0,1,0,0,0,0,0,0,0,0,1
383,1,1,35.0,1,0,52.0,0,0,0,0,0,0,0,0,0,1,0,0,1
595,0,3,36.0,1,1,24.15,0,0,0,0,0,0,0,0,0,1,0,0,1
780,1,3,13.0,0,0,7.2292,0,0,0,0,0,0,0,0,0,1,1,0,0
194,1,1,44.0,0,0,27.7208,4,0,1,0,0,0,0,0,0,0,1,0,0
769,0,3,32.0,0,0,8.3625,0,0,0,0,0,0,0,0,0,1,0,0,1
275,1,1,63.0,1,0,77.9583,7,0,0,0,1,0,0,0,0,0,0,0,1
750,1,2,4.0,1,1,23.0,0,0,0,0,0,0,0,0,0,1,0,0,1
503,0,3,37.0,0,0,9.5875,0,0,0,0,0,0,0,0,0,1,0,0,1
500,0,3,17.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,1,0,0,1
88,1,1,23.0,3,2,263.0,23,0,0,1,0,0,0,0,0,0,0,0,1
835,1,1,39.0,1,1,83.1583,49,0,0,0,0,1,0,0,0,0,1,0,0
432,1,2,42.0,1,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,1,3,26.0,0,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
706,1,2,45.0,0,0,13.5,0,0,0,0,0,0,0,0,0,1,0,0,1
865,1,2,42.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
853,1,1,16.0,0,1,39.4,28,0,0,0,1,0,0,0,0,0,0,0,1
106,1,3,21.0,0,0,7.65,0,0,0,0,0,0,0,0,0,1,0,0,1
381,1,3,1.0,0,2,15.7417,0,0,0,0,0,0,0,0,0,1,1,0,0
827,1,2,1.0,0,2,37.0042,0,0,0,0,0,0,0,0,0,1,1,0,0
889,1,1,26.0,0,0,30.0,148,0,0,1,0,0,0,0,0,0,1,0,0
705,0,2,39.0,0,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
402,0,3,21.0,1,0,9.825,0,0,0,0,0,0,0,0,0,1,0,0,1
498,0,1,25.0,1,2,151.55,22,0,0,1,0,0,0,0,0,0,0,0,1
52,1,1,49.0,1,0,76.7292,33,0,0,0,1,0,0,0,0,0,1,0,0
703,0,3,25.0,0,0,7.7417,0,0,0,0,0,0,0,0,0,1,0,1,0
606,0,3,30.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
658,0,2,23.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,1,1,58.0,0,0,26.55,103,0,0,1,0,0,0,0,0,0,0,0,1
528,0,3,39.0,0,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
372,0,3,19.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
84,1,2,17.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
41,0,2,27.0,1,0,21.0,0,0,0,0,0,0,0,0,0,1,0,0,1
572,1,1,36.0,0,0,26.3875,25,0,0,0,0,1,0,0,0,0,0,0,1
580,1,2,25.0,1,1,30.0,0,0,0,0,0,0,0,0,0,1,0,0,1
477,0,3,29.0,1,0,7.0458,0,0,0,0,0,0,0,0,0,1,0,0,1
800,0,2,34.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
592,0,3,47.0,0,0,7.25,0,0,0,0,0,0,0,0,0,1,0,0,1
748,0,1,19.0,1,0,53.1,30,0,0,0,1,0,0,0,0,0,0,0,1
852,0,3,9.0,1,1,15.2458,0,0,0,0,0,0,0,0,0,1,1,0,0
831,1,2,0.83,1,1,18.75,0,0,0,0,0,0,0,0,0,1,0,0,1
115,0,3,21.0,0,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
266,0,3,16.0,4,1,39.6875,0,0,0,0,0,0,0,0,0,1,0,0,1
565,0,3,24.0,2,0,24.15,0,0,0,0,0,0,0,0,0,1,0,0,1
474,0,3,22.0,0,0,9.8375,0,0,0,0,0,0,0,0,0,1,0,0,1
8,1,3,27.0,0,2,11.1333,0,0,0,0,0,0,0,0,0,1,0,0,1
452,0,1,30.0,0,0,27.75,111,0,0,1,0,0,0,0,0,0,1,0,0
702,0,3,18.0,0,1,14.4542,0,0,0,0,0,0,0,0,0,1,1,0,0
233,1,3,5.0,4,2,31.3875,0,0,0,0,0,0,0,0,0,1,0,0,1
631,0,3,51.0,0,0,7.0542,0,0,0,0,0,0,0,0,0,1,0,0,1
54,0,1,65.0,0,1,61.9792,30,0,1,0,0,0,0,0,0,0,1,0,0
472,1,2,33.0,1,2,27.75,0,0,0,0,0,0,0,0,0,1,0,0,1
216,1,3,27.0,0,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
786,1,3,18.0,0,0,7.4958,0,0,0,0,0,0,0,0,0,1,0,0,1
299,1,1,50.0,0,1,247.5208,58,0,1,0,0,0,0,0,0,0,1,0,0
676,0,3,24.5,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
876,0,3,20.0,0,0,9.8458,0,0,0,0,0,0,0,0,0,1,0,0,1
666,0,2,25.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
614,0,3,35.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
309,1,1,30.0,0,0,56.9292,36,0,0,0,0,1,0,0,0,0,1,0,0
74,1,3,32.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,1,0,0,1
377,0,1,27.0,0,2,211.5,82,0,0,1,0,0,0,0,0,0,1,0,0
93,0,3,26.0,1,2,20.575,0,0,0,0,0,0,0,0,0,1,0,0,1
675,0,3,18.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
183,1,2,1.0,2,1,39.0,4,0,0,0,0,0,1,0,0,0,0,0,1
116,0,3,70.5,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0,1,0
209,1,1,40.0,0,0,31.0,31,1,0,0,0,0,0,0,0,0,1,0,0
465,0,3,38.0,0,0,7.05,0,0,0,0,0,0,0,0,0,1,0,0,1
213,0,2,30.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
864,0,2,24.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
673,1,2,31.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
307,1,1,17.0,1,0,108.9,65,0,0,1,0,0,0,0,0,0,1,0,0
113,0,3,20.0,1,0,9.825,0,0,0,0,0,0,0,0,0,1,0,0,1
267,1,3,25.0,1,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
217,0,2,42.0,1,0,27.0,0,0,0,0,0,0,0,0,0,1,0,0,1
365,0,3,30.0,0,0,7.25,0,0,0,0,0,0,0,0,0,1,0,0,1
694,0,1,60.0,0,0,26.55,0,0,0,0,0,0,0,0,0,1,0,0,1
148,0,2,36.5,0,2,26.0,2,0,0,0,0,0,1,0,0,0,0,0,1
149,0,2,42.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
544,0,1,50.0,1,0,106.425,86,0,0,1,0,0,0,0,0,0,1,0,0
489,1,3,9.0,1,1,15.9,0,0,0,0,0,0,0,0,0,1,0,0,1
397,0,2,46.0,0,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
449,1,1,52.0,0,0,30.5,104,0,0,1,0,0,0,0,0,0,0,0,1
632,1,1,32.0,0,0,30.5,50,0,1,0,0,0,0,0,0,0,1,0,0
205,0,3,2.0,0,1,10.4625,6,0,0,0,0,0,0,1,0,0,0,0,1
144,0,2,18.0,0,0,11.5,0,0,0,0,0,0,0,0,0,1,0,0,1
200,0,3,28.0,0,0,9.5,0,0,0,0,0,0,0,0,0,1,0,0,1
190,1,2,32.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
861,0,2,21.0,1,0,11.5,0,0,0,0,0,0,0,0,0,1,0,0,1
668,0,3,43.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
40,0,3,40.0,1,0,9.475,0,0,0,0,0,0,0,0,0,1,0,0,1
487,0,1,58.0,0,0,29.7,37,0,1,0,0,0,0,0,0,0,1,0,0
23,1,1,28.0,0,0,35.5,6,1,0,0,0,0,0,0,0,0,0,0,1
143,0,3,19.0,0,0,6.75,0,0,0,0,0,0,0,0,0,1,0,1,0
850,0,3,4.0,4,2,31.275,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,3,22.0,1,0,7.25,0,0,0,0,0,0,0,0,0,1,0,0,1
407,1,2,3.0,1,1,18.75,0,0,0,0,0,0,0,0,0,1,0,0,1
799,0,3,30.0,1,1,24.15,0,0,0,0,0,0,0,0,0,1,0,0,1
679,1,1,36.0,0,1,512.3292,51,0,1,0,0,0,0,0,0,0,1,0,0
322,1,2,30.0,0,0,12.35,0,0,0,0,0,0,0,0,0,1,0,1,0
857,1,1,51.0,0,0,26.55,17,0,0,0,0,1,0,0,0,0,0,0,1
393,1,1,23.0,1,0,113.275,36,0,0,0,1,0,0,0,0,0,1,0,0
755,1,2,0.67,1,1,14.5,0,0,0,0,0,0,0,0,0,1,0,0,1
170,0,1,61.0,0,0,33.5,19,0,1,0,0,0,0,0,0,0,0,0,1
562,0,2,28.0,0,0,13.5,0,0,0,0,0,0,0,0,0,1,0,0,1
4,0,3,35.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
670,1,2,40.0,1,1,39.0,0,0,0,0,0,0,0,0,0,1,0,0,1
403,0,3,28.0,1,0,15.85,0,0,0,0,0,0,0,0,0,1,0,0,1
412,1,1,33.0,1,0,90.0,78,0,0,1,0,0,0,0,0,0,0,1,0
757,0,2,18.0,0,0,11.5,0,0,0,0,0,0,0,0,0,1,0,0,1
373,0,1,22.0,0,0,135.6333,0,0,0,0,0,0,0,0,0,1,1,0,0
104,0,3,37.0,2,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
716,1,1,38.0,0,0,227.525,45,0,0,1,0,0,0,0,0,0,1,0,0
34,0,1,28.0,1,0,82.1708,0,0,0,0,0,0,0,0,0,1,1,0,0
529,0,2,23.0,2,1,11.5,0,0,0,0,0,0,0,0,0,1,0,0,1
269,1,1,35.0,0,0,135.6333,99,0,0,1,0,0,0,0,0,0,0,0,1
754,1,2,48.0,1,2,65.0,0,0,0,0,0,0,0,0,0,1,0,0,1
461,0,3,34.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
566,0,3,19.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
473,1,2,23.0,0,0,13.7917,0,0,0,0,1,0,0,0,0,0,1,0,0
187,1,1,45.0,0,0,26.55,0,0,0,0,0,0,0,0,0,1,0,0,1
15,1,2,55.0,0,0,16.0,0,0,0,0,0,0,0,0,0,1,0,0,1
218,1,1,32.0,0,0,76.2917,15,0,0,0,1,0,0,0,0,0,1,0,0
112,0,3,22.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
208,1,3,16.0,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0,1,0
798,0,3,30.0,0,0,7.2292,0,0,0,0,0,0,0,0,0,1,1,0,0
419,0,3,10.0,0,2,24.15,0,0,0,0,0,0,0,0,0,1,0,0,1
79,1,3,30.0,0,0,12.475,0,0,0,0,0,0,0,0,0,1,0,0,1
883,0,2,28.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
597,0,3,49.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1
207,1,3,26.0,0,0,18.7875,0,0,0,0,0,0,0,0,0,1,1,0,0
442,0,3,25.0,1,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
830,1,3,15.0,1,0,14.4542,0,0,0,0,0,0,0,0,0,1,1,0,0
366,1,1,60.0,1,0,75.25,37,0,0,0,1,0,0,0,0,0,1,0,0
56,1,2,21.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
408,0,3,21.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
791,0,2,16.0,0,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
103,0,3,33.0,0,0,8.6542,0,0,0,0,0,0,0,0,0,1,0,0,1
617,0,3,26.0,1,0,16.1,0,0,0,0,0,0,0,0,0,1,0,0,1
37,0,3,21.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
488,0,3,30.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
530,1,2,2.0,1,1,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
811,0,3,39.0,0,0,24.15,0,0,0,0,0,0,0,0,0,1,0,0,1
318,1,1,31.0,0,2,164.8667,7,0,0,1,0,0,0,0,0,0,0,0,1
558,1,1,39.0,1,1,79.65,67,0,0,0,0,1,0,0,0,0,0,0,1
392,0,3,28.0,2,0,7.925,0,0,0,0,0,0,0,0,0,1,0,0,1
110,0,1,47.0,0,0,52.0,110,0,0,1,0,0,0,0,0,0,0,0,1
83,0,1,28.0,0,0,47.1,0,0,0,0,0,0,0,0,0,1,0,0,1
866,1,2,27.0,1,0,13.8583,0,0,0,0,0,0,0,0,0,1,1,0,0
171,0,3,4.0,4,1,29.125,0,0,0,0,0,0,0,0,0,1,0,1,0
141,1,3,22.0,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0,0,1
243,0,3,22.0,0,0,7.125,0,0,0,0,0,0,0,0,0,1,0,0,1
426,1,2,28.0,1,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
222,0,3,51.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
58,1,2,5.0,1,2,27.75,0,0,0,0,0,0,0,0,0,1,0,0,1
660,1,1,50.0,2,0,133.65,0,0,0,0,0,0,0,0,0,1,0,0,1
435,1,1,14.0,1,2,120.0,96,0,1,0,0,0,0,0,0,0,0,0,1
479,1,3,2.0,0,1,12.2875,0,0,0,0,0,0,0,0,0,1,0,0,1
369,1,1,24.0,0,0,69.3,35,0,1,0,0,0,0,0,0,0,1,0,0
162,0,3,26.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
804,1,3,27.0,0,0,6.975,0,0,0,0,0,0,0,0,0,1,0,0,1
808,0,2,39.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
272,1,2,41.0,0,1,19.5,0,0,0,0,0,0,0,0,0,1,0,0,1
123,1,2,32.5,0,0,13.0,101,0,0,0,0,1,0,0,0,0,0,0,1
155,0,1,51.0,0,1,61.3792,0,0,0,0,0,0,0,0,0,1,1,0,0
845,0,3,42.0,0,0,7.55,0,0,0,0,0,0,0,0,0,1,0,0,1
282,0,3,16.0,0,0,9.5,0,0,0,0,0,0,0,0,0,1,0,0,1
221,0,2,27.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
847,0,3,35.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,1,0,0
860,0,3,41.0,2,0,14.1083,0,0,0,0,0,0,0,0,0,1,0,0,1
844,0,3,17.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,1,0,0,1
536,0,1,45.0,0,0,26.55,38,0,1,0,0,0,0,0,0,0,0,0,1
132,0,3,47.0,1,0,14.5,0,0,0,0,0,0,0,0,0,1,0,0,1
105,0,3,28.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
736,0,3,48.0,1,3,34.375,0,0,0,0,0,0,0,0,0,1,0,0,1
762,1,3,20.0,0,0,7.2292,0,0,0,0,0,0,0,0,0,1,1,0,0
467,0,1,56.0,0,0,26.55,0,0,0,0,0,0,0,0,0,1,0,0,1
329,1,1,16.0,0,1,57.9792,18,0,1,0,0,0,0,0,0,0,1,0,0
534,0,3,30.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,1,0,0,1
422,0,3,29.0,0,0,7.875,0,0,0,0,0,0,0,0,0,1,0,0,1
480,0,3,9.0,5,2,46.9,0,0,0,0,0,0,0,0,0,1,0,0,1
283,1,3,19.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
378,0,3,20.0,0,0,4.0125,0,0,0,0,0,0,0,0,0,1,1,0,0
549,1,2,8.0,1,1,36.75,0,0,0,0,0,0,0,0,0,1,0,0,1
343,0,2,25.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
157,0,3,30.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
887,1,1,19.0,0,0,30.0,42,0,1,0,0,0,0,0,0,0,0,0,1
328,1,3,31.0,1,1,20.525,0,0,0,0,0,0,0,0,0,1,0,0,1
796,1,1,49.0,0,0,25.9292,17,0,0,0,1,0,0,0,0,0,0,0,1
248,1,1,37.0,1,1,52.5542,35,0,0,0,1,0,0,0,0,0,0,0,1
317,0,2,54.0,0,0,14.0,0,0,0,0,0,0,0,0,0,1,0,0,1
215,1,1,31.0,1,0,113.275,36,0,0,0,1,0,0,0,0,0,1,0,0
294,0,3,24.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,1,0,0,1
50,0,3,7.0,4,1,39.6875,0,0,0,0,0,0,0,0,0,1,0,0,1
174,0,1,56.0,0,0,30.6958,7,1,0,0,0,0,0,0,0,0,1,0,0
380,1,1,42.0,0,0,227.525,0,0,0,0,0,0,0,0,0,1,1,0,0
333,0,3,16.0,2,0,18.0,0,0,0,0,0,0,0,0,0,1,0,0,1
401,0,3,26.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
807,0,3,18.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
652,0,3,21.0,0,0,8.4333,0,0,0,0,0,0,0,0,0,1,0,0,1
265,0,2,36.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
483,1,3,63.0,0,0,9.5875,0,0,0,0,0,0,0,0,0,1,0,0,1
247,1,2,24.0,0,2,14.5,0,0,0,0,0,0,0,0,0,1,0,0,1
510,1,3,29.0,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0,1,0
443,1,2,28.0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1
672,0,2,70.0,0,0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
509,1,3,26.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,1,0,0,1
16,0,3,2.0,4,1,29.125,0,0,0,0,0,0,0,0,0,1,0,1,0
206,0,3,32.0,1,0,15.85,0,0,0,0,0,0,0,0,0,1,0,0,1
712,1,1,48.0,1,0,52.0,126,0,0,1,0,0,0,0,0,0,0,0,1
379,0,3,19.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
302,0,3,19.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1
429,1,3,32.0,0,0,8.05,10,0,0,0,0,1,0,0,0,0,0,0,1
51,0,3,21.0,0,0,7.8,0,0,0,0,0,0,0,0,0,1,0,0,1
486,1,1,35.0,1,0,90.0,93,0,0,1,0,0,0,0,0,0,0,0,1
764,0,3,16.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
257,1,1,30.0,0,0,86.5,77,0,1,0,0,0,0,0,0,0,0,0,1
371,0,3,18.0,1,0,6.4958,0,0,0,0,0,0,0,0,0,1,0,0,1
779,1,1,43.0,0,1,211.3375,3,0,1,0,0,0,0,0,0,0,0,0,1
690,1,1,31.0,1,0,57.0,20,0,1,0,0,0,0,0,0,0,0,0,1
96,0,1,71.0,0,0,34.6542,5,1,0,0,0,0,0,0,0,0,1,0,0
119,0,3,2.0,4,2,31.275,0,0,0,0,0,0,0,0,0,1,0,0,1
133,1,2,29.0,1,0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,1
588,0,3,22.0,0,0,8.05,0,0,0,0,0,0,0,0,0,1,0,0,1
834,0,3,18.0,0,0,8.3,0,0,0,0,0,0,0,0,0,1,0,0,1
18,0,3,31.0,1,0,18.0,0,0,0,0,0,0,0,0,0,1,0,0,1
554,1,3,22.0,0,0,7.775,0,0,0,0,0,0,0,0,0,1,0,0,1
117,0,2,29.0,1,0,21.0,0,0,0,0,0,0,0,0,0,1,0,0,1
114,0,3,17.0,0,0,14.4583,0,0,0,0,0,0,0,0,0,1,1,0,0
389,1,2,17.0,0,0,12.0,0,0,0,0,0,0,0,0,0,1,1,0,0
